State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AK,2009,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07468366125180001,-4.13521914069e-07,1.18521568371,-1.14272210237e-08
AK,2009,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0495507783328,-4.4442372289200003e-07,0.648289563734,2.1496256231099998e-08
AK,2009,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.059088134929900005,-4.79941960472e-07,-4.3304799124599995,1.59791601488e-08
AK,2009,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.061520349406000006,-4.4706168218199995e-07,2.16144499277,-1.03092499941e-08
AK,2009,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.09151766127699999,-5.5192056395e-07,-2.3292098288900003,4.05997086305e-08
AK,2009,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.18880624031800003,-6.0439711125e-07,1.67333033824,4.78434333117e-08
AK,2009,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0211749427791,-4.69861187472e-07,-2.03634103617,8.11880736202e-08
AK,2010,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0720599454687,-5.01893550276e-07,-2.2315868979799998,9.359484377770001e-09
AK,2010,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738729230931,-5.09807428145e-07,1.2828386146200002,-8.49796404395e-08
AK,2010,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00963310725063,-3.89968706125e-07,-0.8648658653039999,2.3986855020400003e-08
AK,2010,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13711049947,-5.08300022837e-07,2.35669085458,-6.15204385842e-08
AK,2010,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115220569186,-4.3302397024700005e-07,1.2340271491700001,-2.9283974815700002e-08
AK,2010,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649548033476,-3.99201563639e-07,-1.10892319257,-1.19323368456e-08
AK,2010,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0195534664617,-4.790940449859999e-07,-1.25535758893,3.35252886985e-08
AK,2010,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.00639015461593,-4.39618868471e-07,-0.523185607134,2.4913133896e-08
AK,2010,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0720599454687,-4.67694292341e-07,-0.523185607134,-2.1610691804e-08
AK,2010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12475792578299999,-5.686904480060001e-07,-0.37675121077600005,3.45131329374e-08
AK,2010,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0817888033729,-5.87815652857e-07,2.55193671639,4.5926511771599996e-08
AK,2010,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.164484095558,-5.03777806912e-07,0.208986374658,1.02296597966e-07
AK,2011,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07468366125180001,-4.86819497192e-07,1.6245188727899997,2.22476335063e-08
AK,2011,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00963310725063,-5.41086088295e-07,0.355420771017,-8.7674524298e-08
AK,2011,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046307825698100005,-3.74235163218e-07,1.38046154553,1.55789852871e-08
AK,2011,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900876862666,-5.03777806912e-07,0.6971010291859999,-6.980237916519999e-08
AK,2011,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138731975787,-4.95392864884e-07,-0.816054399851,-3.40175117283e-08
AK,2011,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738729230931,-3.46536590676e-07,1.91738766551,-1.97315490096e-08
AK,2011,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0171212519857,-4.84841027724e-07,2.16144499277,1.8370414829099997e-08
AK,2011,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0266586085828,-4.19739960966e-07,-2.5244556907,3.22813885166e-08
