State,Year,Month,Megawatthours
ME,2017,9,27218
ME,2017,10,-46928
MI,2007,2,-669431
MI,2007,3,147647
MI,2007,4,-482558
MI,2007,5,430200
MI,2007,6,1345972
MI,2007,7,107676
MI,2007,8,706661
MI,2007,9,-1690924
MI,2007,10,-14439
MI,2007,11,-178171
MI,2007,12,176359
MI,2008,1,305297
MI,2008,2,-533468
MI,2008,3,-22438
MI,2008,4,-661774
MI,2008,5,23717
MI,2008,6,1215031
MI,2008,7,605782
MI,2008,8,-603460
MI,2008,9,-452669
MI,2008,10,-645112
MI,2008,11,-182129
MI,2008,12,944951
MI,2009,1,-255180
MI,2009,2,-522990
MI,2009,3,-120157
MI,2009,4,-651813
MI,2009,5,-93414
MI,2009,6,766042
MI,2009,7,230403
MI,2009,8,596729
MI,2009,9,-814658
MI,2009,10,-43892
MI,2009,11,-214876
MI,2009,12,899054
MI,2010,1,61902
MI,2010,2,-806689
MI,2010,3,158611
MI,2010,4,-643033
MI,2010,5,829487
MI,2010,6,536765
MI,2010,7,1460749
MI,2010,8,-56754
MI,2010,9,-2350731
MI,2010,10,47346
MI,2010,11,129526
MI,2010,12,862132
MI,2011,1,92542
MI,2011,2,-1002502
MI,2011,3,661495
MI,2011,4,-893410
MI,2011,5,322720
MI,2011,6,768874
MI,2011,7,1896643
MI,2011,8,-959366
MI,2011,9,-1606544
MI,2011,10,-151294
MI,2011,11,31857
MI,2011,12,667135
MI,2012,1,57593
MI,2012,2,-620605
MI,2012,3,-27127
MI,2012,4,-513333
MI,2012,5,843100
MI,2012,6,823813
MI,2012,7,1610758
MI,2012,8,-1331744
MI,2012,9,-1475315
MI,2012,10,42418
MI,2012,11,-185352
MI,2012,12,535969
MI,2013,1,398112
MI,2013,2,-825504
MI,2013,3,334626
MI,2013,4,-672216
MI,2013,5,440231
MI,2013,6,349265
MI,2013,7,1163993
MI,2013,8,-435364
MI,2013,9,-1074082
MI,2013,10,-54615
MI,2013,11,-78435
MI,2013,12,829871
MI,2014,1,363430
MI,2014,2,-962851
MI,2014,3,468037
MI,2014,4,-1032735
MI,2014,5,438582
MI,2014,6,711628
MI,2014,7,136101
MI,2014,8,289529
MI,2014,9,-1074480
MI,2014,10,-214349
MI,2014,11,141531
MI,2014,12,493045
MI,2015,1,392648
MI,2015,2,-563973
MI,2015,3,70
MI,2015,4,-815239
MI,2015,5,569030
MI,2015,6,258398
MI,2015,7,621334
MI,2015,8,235090
MI,2015,9,-677377
MI,2015,10,-796615
MI,2015,11,-83962
MI,2015,12,652377
MI,2016,1,362638
MI,2016,2,-784399
MI,2016,3,210314
MI,2016,4,-458973
MI,2016,5,406398
MI,2016,6,847446
MI,2016,7,1058918
MI,2016,8,396007
MI,2016,9,-1845918
MI,2016,10,-679355
MI,2016,11,-189732
MI,2016,12,896424
MI,2017,1,50003
MI,2017,2,-1066335
MI,2017,3,605303
MI,2017,4,-783474
MI,2017,5,446013
MI,2017,6,914341
MI,2017,7,794824
MI,2017,8,-527486
MI,2017,9,-705594
MI,2017,10,-411256
MN,2007,2,-290148
MN,2007,3,-55689
MN,2007,4,-347996
MN,2007,5,177621
MN,2007,6,538503
MN,2007,7,745487
MN,2007,8,-32777
MN,2007,9,-524168
MN,2007,10,-332614
MN,2007,11,-321555
MN,2007,12,476256
MN,2008,1,399009
MN,2008,2,-290611
MN,2008,3,-39790
MN,2008,4,-510163
MN,2008,5,-40341
MN,2008,6,136673
MN,2008,7,878916
MN,2008,8,-96048
MN,2008,9,-735302
MN,2008,10,-66451
MN,2008,11,45031
MN,2008,12,546830
MN,2009,1,88530
MN,2009,2,-614016
MN,2009,3,6807
MN,2009,4,-563815
MN,2009,5,-131005
MN,2009,6,166195
MN,2009,7,423999
MN,2009,8,163361
MN,2009,9,-343759
MN,2009,10,-4970
MN,2009,11,-62888
MN,2009,12,740559
MN,2010,1,200433
MN,2010,2,-751288
MN,2010,3,201978
MN,2010,4,-513284
MN,2010,5,311951
MN,2010,6,289157
MN,2010,7,766858
MN,2010,8,198964
MN,2010,9,-1242944
MN,2010,10,-108839
MN,2010,11,152034
MN,2010,12,707444
MN,2011,1,129384
MN,2011,2,-582359
MN,2011,3,191758
MN,2011,4,-643107
MN,2011,5,85398
MN,2011,6,322989
MN,2011,7,976863
MN,2011,8,-277389
MN,2011,9,-809098
MN,2011,10,-161888
MN,2011,11,74318
MN,2011,12,432385
MN,2012,1,110203
MN,2012,2,-394601
MN,2012,3,-28178
MN,2012,4,-444916
MN,2012,5,245141
MN,2012,6,478567
MN,2012,7,1006503
MN,2012,8,-626073
MN,2012,9,-804416
MN,2012,10,-63394
MN,2012,11,102221
MN,2012,12,426212
MN,2013,1,315375
MN,2013,2,-598517
MN,2013,3,195597
MN,2013,4,-452250
MN,2013,5,-31201
MN,2013,6,233510
MN,2013,7,806939
MN,2013,8,-32735
MN,2013,9,-615492
MN,2013,10,-297942
MN,2013,11,124719
MN,2013,12,663602
MN,2014,1,213045
MN,2014,2,-602056
MN,2014,3,155833
MN,2014,4,-649603
MN,2014,5,27290
MN,2014,6,289842
MN,2014,7,391634
MN,2014,8,247414
MN,2014,9,-753087
MN,2014,10,-102372
MN,2014,11,132875
MN,2014,12,616503
MN,2015,1,83576
MN,2015,2,-590379
MN,2015,3,122609
MN,2015,4,-556066
MN,2015,5,-104212
MN,2015,6,298909
MN,2015,7,737658
MN,2015,8,-183696
MN,2015,9,-413766
MN,2015,10,-313622
MN,2015,11,-80838
MN,2015,12,555988
MN,2016,1,303013
MN,2016,2,-514849
MN,2016,3,-74663
MN,2016,4,-492535
MN,2016,5,178910
MN,2016,6,523394
MN,2016,7,605779
MN,2016,8,80590
MN,2016,9,-870584
MN,2016,10,-176147
MN,2016,11,-87622
MN,2016,12,848066
MN,2017,1,-18678
MN,2017,2,-811013
MN,2017,3,358944
MN,2017,4,-599760
MN,2017,5,169911
MN,2017,6,422946
MN,2017,7,520392
MN,2017,8,-383298
MN,2017,9,-247539
MN,2017,10,-341663
MO,2007,2,-223181
MO,2007,3,-682732
MO,2007,4,-439575
MO,2007,5,555145
MO,2007,6,778178
MO,2007,7,932253
MO,2007,8,937272
MO,2007,9,-1215138
MO,2007,10,-1358452
MO,2007,11,-316058
MO,2007,12,1032932
MO,2008,1,410865
MO,2008,2,-337477
MO,2008,3,-490877
MO,2008,4,-830011
MO,2008,5,31125
MO,2008,6,1234922
MO,2008,7,933505
MO,2008,8,-196733
MO,2008,9,-1179602
MO,2008,10,-612898
MO,2008,11,87557
MO,2008,12,1267709
MO,2009,1,244338
MO,2009,2,-1370207
MO,2009,3,-176399
MO,2009,4,-480624
MO,2009,5,63770
MO,2009,6,1201705
MO,2009,7,357999
MO,2009,8,58594
MO,2009,9,-1061517
MO,2009,10,-437196
MO,2009,11,-113783
MO,2009,12,1586398
MO,2010,1,654297
MO,2010,2,-835001
MO,2010,3,-588850
MO,2010,4,-856421
MO,2010,5,404106
MO,2010,6,1548069
MO,2010,7,937384
MO,2010,8,124209
MO,2010,9,-1888801
MO,2010,10,-949745
MO,2010,11,27650
MO,2010,12,1609484
MO,2011,1,414669
MO,2011,2,-1027607
MO,2011,3,-459846
MO,2011,4,-743177
MO,2011,5,309084
MO,2011,6,1295367
MO,2011,7,1586635
MO,2011,8,-429728
MO,2011,9,-1870971
MO,2011,10,-728530
MO,2011,11,21511
MO,2011,12,908184
MO,2012,1,203544
MO,2012,2,-588851
MO,2012,3,-385548
MO,2012,4,-433806
MO,2012,5,881761
MO,2012,6,908662
MO,2012,7,1674658
MO,2012,8,-1016536
MO,2012,9,-1568702
MO,2012,10,-603825
MO,2012,11,59682
MO,2012,12,833364
MO,2013,1,670863
MO,2013,2,-795050
MO,2013,3,272939
MO,2013,4,-916076
MO,2013,5,154235
MO,2013,6,751477
MO,2013,7,828721
MO,2013,8,-11179
MO,2013,9,-788264
MO,2013,10,-893673
MO,2013,11,80531
MO,2013,12,1323482
MO,2014,1,666969
MO,2014,2,-711220
MO,2014,3,-628307
MO,2014,4,-1099666
MO,2014,5,536940
MO,2014,6,892201
MO,2014,7,415447
MO,2014,8,342497
MO,2014,9,-1227036
MO,2014,10,-821147
MO,2014,11,539509
MO,2014,12,732326
MO,2015,1,439383
MO,2015,2,-327369
MO,2015,3,-575298
MO,2015,4,-1136429
MO,2015,5,412869
MO,2015,6,1102210
MO,2015,7,1006740
MO,2015,8,-261278
MO,2015,9,-877163
MO,2015,10,-1127805
MO,2015,11,-52691
MO,2015,12,703805
MO,2016,1,670762
MO,2016,2,-605082
MO,2016,3,-782541
MO,2016,4,-554487
MO,2016,5,380052
MO,2016,6,1602215
MO,2016,7,783646
MO,2016,8,14638
MO,2016,9,-1071314
MO,2016,10,-1150286
MO,2016,11,-325359
MO,2016,12,1358208
MO,2017,1,75891
MO,2017,2,-1269293
MO,2017,3,92888
MO,2017,4,-480975
MO,2017,5,813829
MO,2017,6,629119
MO,2017,7,1325127
MO,2017,8,-958390
MO,2017,9,-667861
MO,2017,10,-698175
MS,2007,2,52182
MS,2007,3,-268376
MS,2007,4,-150102
MS,2007,5,224540
MS,2007,6,542385
MS,2007,7,432784
MS,2007,8,255255
MS,2007,9,-59827
MS,2007,10,-691638
MS,2007,11,-495195
MS,2007,12,70552
MS,2008,1,329936
MS,2008,2,-139644
MS,2008,3,-270740
MS,2008,4,-163669
MS,2008,5,242251
MS,2008,6,691574
MS,2008,7,353977
MS,2008,8,79957
MS,2008,9,-528345
MS,2008,10,-536502
MS,2008,11,-328193
MS,2008,12,222461
MS,2009,1,152113
MS,2009,2,-227095
MS,2009,3,-171579
MS,2009,4,-256393
MS,2009,5,344514
MS,2009,6,543925
MS,2009,7,787873
MS,2009,8,-215576
MS,2009,9,-348250
MS,2009,10,-390697
MS,2009,11,-507194
MS,2009,12,342304
MS,2010,1,686594
MS,2010,2,-454120
MS,2010,3,-125933
MS,2010,4,-389820
MS,2010,5,208139
MS,2010,6,813010
MS,2010,7,528643
MS,2010,8,90432
MS,2010,9,-305274
MS,2010,10,-808206
MS,2010,11,-492527
MS,2010,12,444897
MS,2011,1,454473
MS,2011,2,-339172
MS,2011,3,-448530
MS,2011,4,-59960
MS,2011,5,195747
MS,2011,6,805680
MS,2011,7,498201
MS,2011,8,71148
MS,2011,9,-430160
MS,2011,10,-840710
MS,2011,11,-379719
MS,2011,12,324480
MS,2012,1,240456
MS,2012,2,-308074
MS,2012,3,-21172
MS,2012,4,-109318
MS,2012,5,295466
MS,2012,6,503684
MS,2012,7,487631
MS,2012,8,25122
MS,2012,9,-408877
MS,2012,10,-568582
MS,2012,11,-312296
MS,2012,12,127037
MS,2013,1,366609
MS,2013,2,-355704
MS,2013,3,37097
MS,2013,4,-178764
MS,2013,5,78600
MS,2013,6,607436
MS,2013,7,446082
MS,2013,8,67286
MS,2013,9,-135949
MS,2013,10,-540316
MS,2013,11,-492117
MS,2013,12,391116
MS,2014,1,404212
MS,2014,2,-47457
MS,2014,3,-516385
MS,2014,4,-298381
MS,2014,5,107823
MS,2014,6,510566
MS,2014,7,479371
MS,2014,8,49915
MS,2014,9,16254
MS,2014,10,-648923
MS,2014,11,-391801
MS,2014,12,138467
MS,2015,1,362051
MS,2015,2,-286120
MS,2015,3,81487
MS,2015,4,-494108
MS,2015,5,104821
MS,2015,6,632990
MS,2015,7,689879
MS,2015,8,161917
MS,2015,9,-521890
MS,2015,10,-573432
MS,2015,11,-458489
MS,2015,12,94952
MS,2016,1,407082
MS,2016,2,-99500
MS,2016,3,-309531
MS,2016,4,-170258
MS,2016,5,277208
MS,2016,6,555344
MS,2016,7,719269
MS,2016,8,39143
MS,2016,9,-290398
MS,2016,10,-547318
MS,2016,11,-573876
MS,2016,12,155649
MS,2017,1,254410
MS,2017,2,-491990
MS,2017,3,39561
MS,2017,4,613
MS,2017,5,237477
MS,2017,6,400868
MS,2017,7,552382
MS,2017,8,79274
MS,2017,9,-424542
MS,2017,10,-336529
MT,2007,2,-162059
MT,2007,3,-64013
MT,2007,4,-35776
MT,2007,5,-55180
MT,2007,6,50329
MT,2007,7,158431
MT,2007,8,40877
MT,2007,9,-211154
MT,2007,10,-3257
MT,2007,11,31398
MT,2007,12,183621
MT,2008,1,39262
MT,2008,2,-105939
MT,2008,3,-68524
MT,2008,4,-49531
MT,2008,5,-40167
MT,2008,6,1036
MT,2008,7,111360
MT,2008,8,34468
MT,2008,9,-153318
MT,2008,10,1640
MT,2008,11,21682
MT,2008,12,172688
MT,2009,1,92465
MT,2009,2,-201204
MT,2009,3,-38331
MT,2009,4,-71423
MT,2009,5,-98312
MT,2009,6,34297
MT,2009,7,61201
MT,2009,8,29851
MT,2009,9,-81261
MT,2009,10,26235
MT,2009,11,-14592
MT,2009,12,195663
MT,2010,1,48454
MT,2010,2,-176705
MT,2010,3,-58748
MT,2010,4,-48375
MT,2010,5,8519
MT,2010,6,-39740
MT,2010,7,69227
MT,2010,8,57799
MT,2010,9,-89347
MT,2010,10,-50341
MT,2010,11,91987
MT,2010,12,178281
MT,2011,1,45892
MT,2011,2,-123048
MT,2011,3,-20091
MT,2011,4,-98228
MT,2011,5,-60924
MT,2011,6,-28701
MT,2011,7,111022
MT,2011,8,42134
MT,2011,9,-173961
MT,2011,10,108257
MT,2011,11,10483
MT,2011,12,136900
MT,2012,1,33592
MT,2012,2,-41449
MT,2012,3,-96967
MT,2012,4,-55183
MT,2012,5,-79313
MT,2012,6,48923
MT,2012,7,127236
MT,2012,8,77348
MT,2012,9,-192117
MT,2012,10,-22083
MT,2012,11,50678
MT,2012,12,160392
MT,2013,1,74558
MT,2013,2,-115890
MT,2013,3,-76054
MT,2013,4,-33181
MT,2013,5,-67351
MT,2013,6,8194
MT,2013,7,116652
MT,2013,8,88480
MT,2013,9,-203442
MT,2013,10,40875
MT,2013,11,65776
MT,2013,12,153092
MT,2014,1,50883
MT,2014,2,-125513
MT,2014,3,-3725
MT,2014,4,-98481
MT,2014,5,-74764
MT,2014,6,-8292
MT,2014,7,81500
MT,2014,8,46666
MT,2014,9,-87348
MT,2014,10,-18294
MT,2014,11,51899
MT,2014,12,179739
MT,2015,1,73689
MT,2015,2,-164330
MT,2015,3,-74902
MT,2015,4,-30861
MT,2015,5,-58076
MT,2015,6,91390
MT,2015,7,85877
MT,2015,8,-26252
MT,2015,9,-109327
MT,2015,10,-28855
MT,2015,11,89956
MT,2015,12,160055
MT,2016,1,43906
MT,2016,2,-133922
MT,2016,3,-91026
MT,2016,4,-34254
MT,2016,5,-53256
MT,2016,6,79419
MT,2016,7,48571
MT,2016,8,37939
MT,2016,9,-123205
MT,2016,10,-9692
MT,2016,11,44521
MT,2016,12,205073
MT,2017,1,152639
MT,2017,2,-186023
MT,2017,3,-104868
MT,2017,4,-83489
MT,2017,5,-47622
MT,2017,6,31407
MT,2017,7,153082
MT,2017,8,7033
MT,2017,9,-110933
MT,2017,10,-51627
NC,2007,2,167288
NC,2007,3,-1056753
NC,2007,4,-687836
NC,2007,5,599312
NC,2007,6,1449799
NC,2007,7,977167
NC,2007,8,1395133
NC,2007,9,-1583305
NC,2007,10,-1554568
NC,2007,11,-911649
NC,2007,12,604975
NC,2008,1,1302586
NC,2008,2,-805260
NC,2008,3,-1044458
NC,2008,4,-459682
NC,2008,5,523255
NC,2008,6,2090212
NC,2008,7,717526
NC,2008,8,85810
NC,2008,9,-1361842
NC,2008,10,-1606570
NC,2008,11,-105562
NC,2008,12,777385
NC,2009,1,1159752
NC,2009,2,-1115278
NC,2009,3,-335351
NC,2009,4,-1067165
NC,2009,5,380449
NC,2009,6,1785369
NC,2009,7,1210135
NC,2009,8,177796
NC,2009,9,-1664955
NC,2009,10,-1398723
NC,2009,11,-574117
NC,2009,12,1892578
NC,2010,1,1934732
NC,2010,2,-1503483
NC,2010,3,-560816
NC,2010,4,-1574556
NC,2010,5,627332
NC,2010,6,2387515
NC,2010,7,1347534
NC,2010,8,50955
NC,2010,9,-1547478
NC,2010,10,-2301118
NC,2010,11,-453173
NC,2010,12,2650444
NC,2011,1,812490
NC,2011,2,-2516343
NC,2011,3,-317388
NC,2011,4,-690839
NC,2011,5,836757
NC,2011,6,2026111
NC,2011,7,1211450
NC,2011,8,-51940
NC,2011,9,-2289402
NC,2011,10,-1458869
NC,2011,11,-186800
NC,2011,12,940015
NC,2012,1,750648
NC,2012,2,-1026331
NC,2012,3,-403851
NC,2012,4,-572576
NC,2012,5,1388869
NC,2012,6,842861
NC,2012,7,1834679
NC,2012,8,-435800
NC,2012,9,-1792360
NC,2012,10,-1181375
NC,2012,11,213175
NC,2012,12,734487
NC,2013,1,777756
NC,2013,2,-1074812
NC,2013,3,475884
NC,2013,4,-1412584
NC,2013,5,425496
NC,2013,6,1412441
NC,2013,7,1380389
NC,2013,8,-419806
NC,2013,9,-1021827
NC,2013,10,-1342002
NC,2013,11,85949
NC,2013,12,1190999
NC,2014,1,1770174
NC,2014,2,-1866630
NC,2014,3,-34188
NC,2014,4,-1687207
NC,2014,5,1001540
NC,2014,6,1318730
NC,2014,7,817284
NC,2014,8,-72498
NC,2014,9,-1063910
NC,2014,10,-1489502
NC,2014,11,225049
NC,2014,12,1204929
NC,2015,1,1003067
NC,2015,2,-402422
NC,2015,3,-1063337
NC,2015,4,-1589294
NC,2015,5,1105309
NC,2015,6,1932186
NC,2015,7,1187783
NC,2015,8,-675552
NC,2015,9,-1239268
NC,2015,10,-1717472
NC,2015,11,-513733
NC,2015,12,1474531
NC,2016,1,1250568
NC,2016,2,-932255
NC,2016,3,-1011449
NC,2016,4,-881544
NC,2016,5,730702
NC,2016,6,2169766
NC,2016,7,1737822
NC,2016,8,-13675
NC,2016,9,-1649372
NC,2016,10,-2424421
NC,2016,11,-67849
NC,2016,12,1572943
NC,2017,1,-49466
NC,2017,2,-1839175
NC,2017,3,906199
NC,2017,4,-1054791
NC,2017,5,1277069
NC,2017,6,1264403
NC,2017,7,1449493
NC,2017,8,-203006
NC,2017,9,-1947844
NC,2017,10,-1197226
ND,2007,2,-28252
ND,2007,3,-91164
ND,2007,4,-65230
ND,2007,5,-85239
ND,2007,6,18697
ND,2007,7,105846
ND,2007,8,-22611
ND,2007,9,-82585
ND,2007,10,37257
ND,2007,11,87061
ND,2007,12,176653
ND,2008,1,48203
ND,2008,2,-48770
ND,2008,3,-42257
ND,2008,4,-163799
ND,2008,5,-71817
ND,2008,6,-60390
ND,2008,7,118710
ND,2008,8,30042
ND,2008,9,-89086
ND,2008,10,45471
ND,2008,11,85626
ND,2008,12,237165
ND,2009,1,45030
ND,2009,2,-130938
ND,2009,3,-14111
ND,2009,4,-169501
ND,2009,5,-97911
ND,2009,6,-14958
ND,2009,7,54419
ND,2009,8,10963
ND,2009,9,-34987
ND,2009,10,85561
ND,2009,11,40409
ND,2009,12,237915
ND,2010,1,25583
ND,2010,2,-123006
ND,2010,3,-65263
ND,2010,4,-139900
ND,2010,5,-63578
ND,2010,6,12820
ND,2010,7,98997
ND,2010,8,48372
ND,2010,9,-130837
ND,2010,10,30255
ND,2010,11,157651
ND,2010,12,185338
ND,2011,1,75158
ND,2011,2,-141017
ND,2011,3,14540
ND,2011,4,-187352
ND,2011,5,-81677
ND,2011,6,-37845
ND,2011,7,116116
ND,2011,8,15722
ND,2011,9,-69961
ND,2011,10,32444
ND,2011,11,131015
ND,2011,12,124349
ND,2012,1,61901
ND,2012,2,-55594
ND,2012,3,-88278
ND,2012,4,-148013
ND,2012,5,-15669
ND,2012,6,7441
ND,2012,7,178463
ND,2012,8,-46055
ND,2012,9,-88658
ND,2012,10,57117
ND,2012,11,108787
ND,2012,12,234909
ND,2013,1,56082
ND,2013,2,-131198
ND,2013,3,-42597
ND,2013,4,-118454
ND,2013,5,-97402
ND,2013,6,-86790
ND,2013,7,157405
ND,2013,8,-22403
ND,2013,9,-62274
ND,2013,10,52307
ND,2013,11,233840
ND,2013,12,233694
ND,2014,1,97771
ND,2014,2,-120076
ND,2014,3,-59315
ND,2014,4,-141242
ND,2014,5,-91721
ND,2014,6,-111339
ND,2014,7,136244
ND,2014,8,-18286
ND,2014,9,-32961
ND,2014,10,115823
ND,2014,11,168068
ND,2014,12,180123
ND,2015,1,1939
ND,2015,2,-144105
ND,2015,3,-70889
ND,2015,4,-178904
ND,2015,5,-86110
ND,2015,6,665
ND,2015,7,126890
ND,2015,8,27651
ND,2015,9,-162626
ND,2015,10,84583
ND,2015,11,119101
ND,2015,12,169108
ND,2016,1,129387
ND,2016,2,-186999
ND,2016,3,-78027
ND,2016,4,-134710
ND,2016,5,-68296
ND,2016,6,20451
ND,2016,7,121564
ND,2016,8,18170
ND,2016,9,-133829
ND,2016,10,102482
ND,2016,11,54043
ND,2016,12,288383
ND,2017,1,6159
ND,2017,2,-225019
ND,2017,3,65579
ND,2017,4,-223073
ND,2017,5,-48484
ND,2017,6,8163
ND,2017,7,150928
ND,2017,8,-89959
ND,2017,9,-79018
ND,2017,10,73397
NE,2007,2,-99582
NE,2007,3,-98011
NE,2007,4,-226318
NE,2007,5,131727
NE,2007,6,191152
NE,2007,7,445478
NE,2007,8,31072
NE,2007,9,-497635
NE,2007,10,-202096
NE,2007,11,73348
NE,2007,12,299927
NE,2008,1,53118
NE,2008,2,-105668
NE,2008,3,-116284
NE,2008,4,-190413
NE,2008,5,-16288
NE,2008,6,201169
NE,2008,7,499129
NE,2008,8,-5692
NE,2008,9,-494189
NE,2008,10,-140226
NE,2008,11,26595
NE,2008,12,442945
NE,2009,1,-12649
NE,2009,2,-274512
NE,2009,3,-72743
NE,2009,4,-237491
NE,2009,5,49117
NE,2009,6,213040
NE,2009,7,339731
NE,2009,8,-7050
NE,2009,9,-343746
NE,2009,10,-124747
NE,2009,11,62213
NE,2009,12,495943
NE,2010,1,16013
NE,2010,2,-300762
NE,2010,3,-26032
NE,2010,4,-147425
NE,2010,5,-106486
NE,2010,6,274757
NE,2010,7,453692
NE,2010,8,144778
NE,2010,9,-653944
NE,2010,10,-227887
NE,2010,11,89738
NE,2010,12,380097
NE,2011,1,38776
NE,2011,2,-162619
NE,2011,3,-38349
NE,2011,4,-320412
NE,2011,5,38945
NE,2011,6,214817
NE,2011,7,599860
NE,2011,8,-88807
NE,2011,9,-539924
NE,2011,10,-168839
NE,2011,11,92570
NE,2011,12,243740
NE,2012,1,32043
NE,2012,2,-113017
NE,2012,3,-114272
NE,2012,4,-182158
NE,2012,5,252253
NE,2012,6,400855
NE,2012,7,624165
NE,2012,8,-328550
NE,2012,9,-668346
NE,2012,10,-196658
NE,2012,11,49824
NE,2012,12,255409
NE,2013,1,111323
NE,2013,2,-262574
NE,2013,3,37978
NE,2013,4,-153431
NE,2013,5,64076
NE,2013,6,123945
NE,2013,7,591494
NE,2013,8,-93019
NE,2013,9,-356236
NE,2013,10,-280738
NE,2013,11,61750
NE,2013,12,344328
NE,2014,1,69130
NE,2014,2,-261536
NE,2014,3,-46819
NE,2014,4,-273712
NE,2014,5,101424
NE,2014,6,145798
NE,2014,7,409588
NE,2014,8,-29602
NE,2014,9,-442546
NE,2014,10,-159851
NE,2014,11,95048
NE,2014,12,263115
NE,2015,1,56567
NE,2015,2,-240695
NE,2015,3,-88319
NE,2015,4,-203234
NE,2015,5,26842
NE,2015,6,291410
NE,2015,7,549327
NE,2015,8,-167103
NE,2015,9,-294904
NE,2015,10,-307880
NE,2015,11,-13956
NE,2015,12,295751
NE,2016,1,121066
NE,2016,2,-219481
NE,2016,3,-145305
NE,2016,4,-160523
NE,2016,5,74837
NE,2016,6,570522
NE,2016,7,314580
NE,2016,8,-25962
NE,2016,9,-521242
NE,2016,10,-245952
NE,2016,11,-26274
NE,2016,12,441717
NE,2017,1,2711
NE,2017,2,-350622
NE,2017,3,-939
NE,2017,4,-146444
NE,2017,5,50983
NE,2017,6,424188
NE,2017,7,487512
NE,2017,8,-382538
NE,2017,9,-269774
NE,2017,10,-262862
NH,2007,2,-34384
NH,2007,3,-24288
NH,2007,4,-76585
NH,2007,5,15838
NH,2007,6,39895
NH,2007,7,82497
NH,2007,8,43455
NH,2007,9,-110722
NH,2007,10,-52035
NH,2007,11,16918
NH,2007,12,99921
NH,2008,1,26235
NH,2008,2,-89569
NH,2008,3,-10577
NH,2008,4,-53199
NH,2008,5,-22734
NH,2008,6,78576
NH,2008,7,103528
NH,2008,8,-40133
NH,2008,9,-91420
NH,2008,10,-44626
NH,2008,11,14282
NH,2008,12,15264
NH,2009,1,119659
NH,2009,2,-9502
NH,2009,3,-130535
NH,2009,4,2804
NH,2009,5,-50124
NH,2009,6,-14015
NH,2009,7,88834
NH,2009,8,129857
NH,2009,9,-76065
NH,2009,10,-96752
NH,2009,11,-18025
NH,2009,12,67715
NH,2010,1,114304
NH,2010,2,-87569
NH,2010,3,-63873
NH,2010,4,-18665
NH,2010,5,-23884
NH,2010,6,36265
NH,2010,7,190263
NH,2010,8,-2532
NH,2010,9,-65191
NH,2010,10,-113366
NH,2010,11,-44523
NH,2010,12,93514
NH,2011,1,85196
NH,2011,2,-41953
NH,2011,3,-57082
NH,2011,4,-22612
NH,2011,5,-89538
NH,2011,6,107970
NH,2011,7,97294
NH,2011,8,26048
NH,2011,9,-57730
NH,2011,10,-81992
NH,2011,11,-55221
NH,2011,12,45905
NH,2012,1,105337
NH,2012,2,-54729
NH,2012,3,-37542
NH,2012,4,-49632
NH,2012,5,-38992
NH,2012,6,65871
NH,2012,7,154164
NH,2012,8,64791
NH,2012,9,-98642
NH,2012,10,-133775
NH,2012,11,-5776
NH,2012,12,94262
NH,2013,1,50180
NH,2013,2,8683
