State,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
NE,0.043298836904699996,0.050385937131900004,0.0532870494734,0.048027612159699994,0.0445456591029,0.040699036133699996,0.042492359976,0.056163815341600004,0.0637021161063,0.06307998703119999,0.05058943147390002,0.0446956678853,0.0440660623342,0.0546509552037,0.054715919071000006,0.0463139415431,0.046291440225700003,0.0427821932386,0.0440039021454,0.054168746461,0.0658510278597,0.0566842451719,0.05021963346580001,0.04392065446000002
NH,0.00959862106943,0.010809474708100002,0.012753550187899998,0.012524463293299998,0.012337239872000002,0.0105473667108,0.008892645232339999,0.011003359861200001,0.013917076774500001,0.0158567430505,0.014281147610299999,0.0105261593989,0.0095097899901,0.0114972625794,0.0144252135528,0.0109747958886,0.011250658684700002,0.010895669850299999,0.00892130505724,0.011154446981600001,0.0135827441016,0.013600045434,0.011378861078700002,0.0100100189572
NJ,0.11772202797499999,0.126405212062,0.137492155092,0.129163863987,0.12418762216700001,0.112261852072,0.127539407858,0.146699363469,0.18812217999699998,0.192724741792,0.15183972831599998,0.125933594994,0.117912726041,0.13429483531300002,0.135900528362,0.120070983389,0.13108656441299998,0.11143157982,0.12186921965999999,0.14916441993,0.176843987751,0.163244253837,0.14025217291099998,0.122982160218
NM,0.0332954317533,0.036129471477800004,0.036746376605000006,0.0326121489381,0.0316711433665,0.030859514378900006,0.033061312615200004,0.03981865711469999,0.045722269522599994,0.0437334550018,0.038123629762,0.033908430900900004,0.032414525546900004,0.0357573011263,0.0357602006571,0.030291493903,0.0316591139082,0.030929007265400002,0.0337978892854,0.0415692068873,0.0462454790684,0.0443479877855,0.039048100819300005,0.0348322070294
NV,0.0492499920323,0.0556361247028,0.056257367144599994,0.049642459099199995,0.050448312988300006,0.050202691579300004,0.05679236651790001,0.0796699519229,0.0896423967953,0.0869998459175,0.067065499921,0.0575034464877,0.04750469017080002,0.056737682805199995,0.0547343466674,0.048113807302,0.052642203413300004,0.049572223357800003,0.0614323825828,0.08146147853539999,0.09515869419510001,0.0866700901898,0.0709421486098,0.055187008951900006
NY,0.251424688043,0.27259651064199997,0.284778541747,0.273798066612,0.26885285696,0.24727212863200002,0.248276109136,0.284885992127,0.335910568886,0.355931589286,0.326885096388,0.265314926185,0.255472409048,0.27676601194,0.285371268142,0.268393125572,0.25849779384,0.24768208873599998,0.241205255867,0.27695201324499996,0.326772637727,0.32129130243799997,0.291257028067,0.269480329799
OH,0.253734344031,0.272679878143,0.30807816464000004,0.285127156406,0.272317029424,0.251892734615,0.265171099873,0.294723572874,0.33756557792099995,0.3534346379860001,0.300649015633,0.262251679751,0.258382291871,0.301522349511,0.296121170672,0.253829022098,0.279724228264,0.24110391606800002,0.260097951422,0.286930305105,0.317475855415,0.305326677672,0.270467871641,0.257984193484
OK,0.0945874626685,0.103890259709,0.114366839528,0.0964064749158,0.09559824868339999,0.09138074936820001,0.10190305071399999,0.13076052296,0.147282456713,0.142065002687,0.123022010793,0.1059568823,0.0944225728232,0.113290993794,0.108863793703,0.0881250316013,0.09884049920810001,0.09174982848439996,0.10131178606499999,0.12573415041,0.141580325749,0.132080624209,0.115893286724,0.10375690525699999
OR,0.0857160487112,0.0957970462648,0.097458381549,0.0837766460289,0.08530117617910002,0.07426244683489999,0.0769854417196,0.081876159363,0.0848920787455,0.0909768039934,0.07470969346689997,0.07997921923060003,0.0807339359405,0.106014177987,0.106915285056,0.0874744823319,0.08740122724439997,0.07854958281499999,0.07913344287650001,0.07959482771639999,0.08810969524010001,0.09164194676889999,0.0775582308453,0.0775777847058
PA,0.242863212359,0.269177220999,0.304466307812,0.294992702049,0.271484073309,0.244506503456,0.243953963119,0.273174547679,0.310478496864,0.327640436137,0.299647215768,0.255075125405,0.247673414106,0.29173442023400004,0.30612982373500003,0.272156668597,0.278883076781,0.24976177119600002,0.24332315941500002,0.266439608645,0.305781280965,0.29864407397,0.265981339003,0.25670873542399997
RI,0.0037831448119099997,0.0050717585941700005,0.00586932126298,0.00390288824418,0.00439250157377,0.00347684892414,0.00356249291592,0.00509327742591,0.0091927107234,0.00948136979585,0.0056142344436000005,0.00376366284064,0.00360565039471,0.00468020212365,0.0052550999990699995,0.003502513366,0.005069362287739999,0.0030403137819499998,0.00343853198434,0.00564188781979,0.00765241287689,0.00740355645422,0.005355337497,0.0033592382046
SC,0.131089248276,0.134923482341,0.157134031889,0.144998632907,0.12693081791400002,0.122917459944,0.139262210799,0.162518436583,0.190152522508,0.187667720482,0.15710510847,0.132095361494,0.129803006837,0.138667255839,0.144361359175,0.12039441286800001,0.13183596132300002,0.12838559158500001,0.142498422631,0.156395226653,0.180405617997,0.17751950653299994,0.147882036544,0.141432617421
SD,0.0126553974765,0.0159868385266,0.0176822253252,0.015524447238,0.0137790495242,0.011731429643600001,0.011258135160799999,0.0140555593231,0.016041594128499998,0.0174545282883,0.0132747468362,0.0121483150731,0.0126681697898,0.0173731017958,0.019601666774900002,0.015425527708600001,0.0148992988168,0.0118080155971,0.011927543361799998,0.0139302085338,0.0171311467357,0.015404823621100001,0.0133827004408,0.0124198165915
TN,0.153053769043,0.166622878161,0.19269497966600002,0.199777718616,0.174429181836,0.158494031639,0.162970236197,0.195488713517,0.22963917136700002,0.238470159635,0.222014651497,0.181468691418,0.161613112014,0.179750971043,0.19317553495700002,0.168666496209,0.163229660331,0.158069142546,0.165706506619,0.186088578509,0.21347733058200002,0.21811288951699997,0.18796033346000002,0.167884988794
TX,0.642600289618,0.690251394111,0.7603973459469999,0.6869153521529999,0.663258631675,0.657322333648,0.7139955318469999,0.8465470302689999,0.972158322049,1.0,0.914391761115,0.8102881582439999,0.6864369295739999,0.723777781878,0.7404120065500001,0.629177738601,0.668160875553,0.643520686954,0.743660415582,0.859000011742,0.9351651738079999,0.959848208366,0.847597091747,0.794738046565
UT,0.0481176413923,0.052324117697900005,0.052069869585800004,0.0464413531559,0.04401914265430002,0.0430132451045,0.045204331851099996,0.0566713290802,0.06387443450159999,0.0611840773106,0.049461537963800005,0.0460564344542,0.04464596848999999,0.0528830322095,0.051697579419,0.0426334544986,0.0448985631507,0.0444688814449,0.046564331601800006,0.056529252072,0.06487388598709999,0.0622432926784,0.051058724124999996,0.045929190582800004
VA,0.177428183295,0.198067834163,0.247360001189,0.220248957068,0.19163475785,0.176754557595,0.185532779195,0.213959994623,0.258728198704,0.260160279352,0.216144060191,0.187686435636,0.187340624655,0.227368766877,0.226638875902,0.19422878352200001,0.213790336128,0.17857857812300001,0.192866195761,0.220963919054,0.253484457197,0.238341621758,0.200240948611,0.191481466127
VT,0.000401117733171,0.000993460719386,0.00233886696402,0.0016621739915,0.00103824768655,0.000176248337862,0.000300976087498,0.000650932678407,0.0019847168368600002,0.00222880460973,0.00106242641842,0.00048367048965400003,0.000490667704427,0.0021039091186400003,0.00198601084233,0.0007786797741429999,0.0013568366263,0.000103448548545,0.000188541389843,0.0004928243802130001,0.001467426168,0.0015017892022,0.000602790882246,0.00035918237066100004
WA,0.166953376743,0.197605035502,0.19886259315299998,0.17788709994000002,0.17535499482500005,0.152670911164,0.149729133503,0.153490495889,0.160118176248,0.166488972557,0.150590366033,0.157626808343,0.16163460688200001,0.20784097823,0.214886933876,0.187360490035,0.18991902640900002,0.160087719193,0.155620668526,0.15320555109200001,0.159899369508,0.164641635968,0.149623312611,0.157936506986
WI,0.118521555615,0.128383315093,0.136465817048,0.124089445492,0.123068978399,0.114844327547,0.11765332587,0.132807447912,0.148596950604,0.15248385548499999,0.127643455483,0.1215773735,0.118050873106,0.136145119359,0.136700607152,0.119612354302,0.127651531036,0.11528201291699999,0.117824422149,0.13323159415,0.14454680933,0.137618416478,0.128018309698,0.12226729408399999
WV,0.0470778121435,0.0524514094955,0.0689882722367,0.0593888843492,0.0513191307446,0.0467371292584,0.047489138142,0.0501639433043,0.0571617092279,0.0610288685432,0.0520501479839,0.046616762786499996,0.0496120260076,0.060417379068599994,0.0601947861644,0.04818960247430002,0.0593814557993,0.0449934568853,0.04849908544969999,0.0507354863508,0.0568073673962,0.0557821556166,0.047886182154299996,0.051206336601
WY,0.024040153468999997,0.0260084316438,0.0268767332784,0.023759522023099996,0.022993518709999997,0.0212940342274,0.0203762009389,0.022007031242299996,0.023405467748199998,0.0235085808139,0.0216066803272,0.0240546990491,0.0223764458414,0.026777118820099997,0.028119098346599997,0.023617876350099997,0.0242424256947,0.0208356447706,0.0221173092642,0.0226216598783,0.0246811894019,0.0235469217167,0.0215537698813,0.0228051210985
