Year,Month,State,Temp,Count,price,Megawatthours
2014,12,AK,0.6057385759830001,0.00633774176032,0.378190986448,0.0039803608310300005
2014,12,AL,0.791710945802,0.148111243265,0.131106208635,0.165746045675
2014,12,AR,0.7587672688629999,0.08718695512630001,0.094547746612,0.0811667807708
2014,12,AZ,0.7614240170029999,0.177197709807,0.14308225654,0.124398209576
2014,12,CA,0.774707757705,0.973547710175,0.309486290577,0.501036114974
2014,12,CO,0.674282678002,0.150138345315,0.15190671289000002,0.0993714488236
2014,12,CT,0.714133900106,0.0891869864848,0.40182792310099996,0.0506274129308
2014,12,DC,0.730074388948,0.00207951551781,0.21935077214,0.0119113922564
2014,12,DE,0.743889479277,0.0143549543686,0.200126063662,0.012634909056599999
2014,12,FL,0.854941551541,0.639603078379,0.191301607312,0.392803748015
2014,12,GA,0.798618490967,0.288598790906,0.14182161991800002,0.246119529202
2014,12,HI,0.877789585547,0.0159838036626,0.834856602584,0.008547001993009999
2014,12,IA,0.6758767268860001,0.08634129998839998,0.08982035928139999,0.0881309744412
2014,12,ID,0.680658873539,0.0376930906699,0.103057043807,0.0359130610442
2014,12,IL,0.706163655685,0.353977711797,0.150961235424,0.27466473875799996
2014,12,IN,0.709883103082,0.187432863244,0.137724550898,0.208823703496
2014,12,KS,0.709883103082,0.0800692190553,0.155688622754,0.0686159101807
2014,12,KY,0.7369819341130001,0.12854700460899998,0.10211156634099999,0.150500312838
2014,12,LA,0.81137088204,0.135418032601,0.0992751339426,0.158023756503
2014,12,MA,0.71041445271,0.185917352474,0.37125748503,0.097610810601
2014,12,MD,0.7364505844850001,0.144784300023,0.222187204538,0.116574484752
2014,12,ME,0.664187035069,0.0360755688285,0.273242987709,0.015053980396799999
2014,12,MI,0.6758767268860001,0.2932512381,0.195083517176,0.19918952124000003
2014,12,MN,0.634431455898,0.154558483734,0.138670028364,0.136537610389
2014,12,MO,0.721041445271,0.183942727887,0.113142136779,0.162637533012
2014,12,MS,0.792773645058,0.0815428758482,0.152221872045,0.08112978179949999
2014,12,MT,0.658873538789,0.023130210348200002,0.116924046644,0.021709290168499998
2014,12,NC,0.765674814028,0.305332958311,0.138354869209,0.259219729078
2014,12,ND,0.622741764081,0.013183298983,0.106208635361,0.033695039813399996
2014,12,NE,0.67481402763,0.05070929372690001,0.112826977624,0.0526910401384
2014,12,NH,0.678533475027,0.030534844556299998,0.352032776552,0.0125730364246
2014,12,NJ,0.731668437832,0.241197561334,0.26946107784400003,0.132004349775
2014,12,NM,0.725823591923,0.0501754955201,0.140876142452,0.0360826236872
2014,12,NV,0.715196599362,0.066690729504,0.13740939174300001,0.0527291653737
2014,12,NY,0.6865037194470001,0.5045456043559999,0.338480932871,0.280056452187
2014,12,OH,0.713602550478,0.338557656894,0.16482823825999998,0.298490374876
2014,12,OK,0.748140276302,0.113811140646,0.08982035928139999,0.109437972686
2014,12,OR,0.717321997875,0.10811426391899999,0.128269776237,0.0947919634592
2014,12,PA,0.7066950053129999,0.36962399576899996,0.1730223763,0.29408761711
2014,12,RI,0.724760892667,0.0166564751591,0.353923731484,0.005412848851289999
2014,12,SC,0.7874601487780001,0.146601236228,0.151591553735,0.147951960766
2014,12,SD,0.654622741764,0.0142533272792,0.133312322723,0.0170694178821
2014,12,TN,0.7534537725820001,0.19180538796399998,0.13740939174300001,0.186271392726
2014,12,TX,0.7954303931990001,0.7377475840369999,0.131421367791,0.699079075476
2014,12,UT,0.6944739638680001,0.0571009208835,0.09895997478730001,0.0502834231429
2014,12,VA,0.7428267800210001,0.224849487273,0.148439962181,0.224859330822
2014,12,VT,0.66950053135,0.00797119883167,0.300976993382,0.00210685657555
2014,12,WA,0.70775770457,0.19671689464000003,0.07280176489130001,0.195399331287
2014,12,WI,0.654091392136,0.176603050541,0.18184683265,0.133754635954
2014,12,WV,0.727417640808,0.049830296200099995,0.0923416325244,0.0609388632737
2014,12,WY,0.6578108395319999,0.00620232430369,0.0986448156319,0.0268969581047
2015,1,AK,0.563761955367,0.00595235238233,0.395839899149,0.00413571337683
2015,1,AL,0.7577045696070001,0.147475561981,0.1348881185,0.18212976047200002
2015,1,AR,0.731137088204,0.08540592118589999,0.0923416325244,0.08800471305549999
2015,1,AZ,0.765674814028,0.17758905089699997,0.148124803026,0.127172293713
2015,1,CA,0.7842720510100001,0.9535614759090001,0.31232272297499997,0.479919335533
2015,1,CO,0.681190223167,0.150664335899,0.152221872045,0.100326113342
2015,1,CT,0.649840595112,0.08929456528660001,0.436495430192,0.054331000369300005
2015,1,DC,0.6843783209350001,0.0013439990579700001,0.234478411598,0.0145521698675
2015,1,DE,0.6960680127519999,0.014114198001999999,0.184052946738,0.0175538312267
2015,1,FL,0.837407013815,0.625399796682,0.189410652379,0.40940859397
2015,1,GA,0.764612114772,0.288332563771,0.147494484715,0.27839830399
2015,1,HI,0.877789585547,0.0160028747411,0.7967223447840001,0.0078130612599
2015,1,IA,0.640807651435,0.0862002508039,0.0964387015443,0.0937511277617
2015,1,ID,0.678533475027,0.0377612473765,0.106208635361,0.037189070254699995
2015,1,IL,0.6625929861850001,0.35392881816,0.14213677907299999,0.290019767132
2015,1,IN,0.6604675876730001,0.187661076217,0.13898518752,0.224073054756
2015,1,KS,0.6965993623800001,0.0792042368513,0.161046328396,0.0725869014536
2015,1,KY,0.697130712009,0.128682678053,0.102426725496,0.162492676288
2015,1,LA,0.776833156217,0.135001668719,0.0939174283013,0.17404491013700002
2015,1,MA,0.641870350691,0.189017298684,0.416325244248,0.10733751424900001
