Y_1_M_1_F_1,Y_1_M_2_F_1,Y_1_M_3_F_1,Y_1_M_4_F_1,Y_1_M_5_F_1,Y_1_M_6_F_1,Y_1_M_7_F_1,Y_1_M_8_F_1,Y_1_M_9_F_1,Y_1_M_10_F_1,Y_1_M_11_F_1
-1.00076441924e-07,-9.84517882118e-08,-1.0536475912000001e-07,-1.07901358042e-07,-1.13738416267e-07,-1.12967490551e-07,-1.04597940489e-07,-8.88207886169e-08,-9.36201329224e-08,-1.0209003372e-07,-1.1093261658699999e-07
-1.4815978131700001e-07,-1.46438395698e-07,-1.47018528644e-07,-1.47497822599e-07,-1.5019692422999999e-07,-1.5199456377e-07,-1.48903881735e-07,-1.47787788549e-07,-1.45300733135e-07,-1.46344363555e-07,-1.50395902449e-07
-5.01566041554e-09,1.5669400668099998e-08,-9.62972686593e-10,1.43700052849e-10,-2.6402343744299998e-08,-2.30802868508e-09,1.5803153781e-08,5.13548288499e-08,4.8192890325300004e-08,1.75718714005e-08,-1.68566164261e-08
-1.1998242056400002e-07,-1.19121483627e-07,-1.26110507411e-07,-1.24017703443e-07,-1.2573348849100001e-07,-1.2420206273699998e-07,-1.16829959928e-07,-1.1147360298099999e-07,-1.10276660533e-07,-1.15002278353e-07,-1.2049830491300002e-07
-1.00030747013e-07,-9.44806390458e-08,-1.0890650249000001e-07,-1.00971872631e-07,-1.04052559802e-07,-9.39969507969e-08,-7.15666657693e-08,-6.32334476133e-08,-6.06347254393e-08,-7.531904803360001e-08,-9.1355606845e-08
1.72431840182e-07,1.91597940372e-07,1.86007508297e-07,1.8362180885e-07,1.4930455697e-07,1.3076029243599998e-07,1.8770255687300001e-07,2.2103542949699998e-07,2.3967160083e-07,2.2525573225e-07,1.605845943e-07
1.94525775048e-07,2.2570676486399998e-07,2.0753526856199999e-07,1.91187978608e-07,1.38749290911e-07,1.65672899325e-07,1.89734328983e-07,2.1931298120599998e-07,2.13462998588e-07,1.8212711709500001e-07,1.4778812351300002e-07
-3.20625388237e-08,-2.23365880175e-08,-3.7009221215800005e-08,-4.00683677303e-08,-5.1176252138e-08,-4.28838463448e-08,-9.368912097e-09,7.72124327765e-09,2.08787349514e-09,-1.23696116317e-08,-4.41706851305e-08
-4.9616478881099996e-08,-4.9839209263499996e-08,-6.80955183089e-08,-6.271446140959999e-08,-6.83648626707e-08,-7.12202633009e-08,-6.10871079348e-08,-5.442917839330001e-08,-5.656460413940001e-08,-7.1765730151e-08,-6.93325263772e-08
1.8924886004000002e-07,2.17541477662e-07,2.1418848788e-07,2.11124085445e-07,1.43808731456e-07,1.38863772317e-07,1.6655003483499998e-07,2.01317141773e-07,1.9858906078e-07,1.82798438817e-07,1.41318344421e-07
-1.56741607363e-07,-1.55540098296e-07,-1.5641648706300002e-07,-1.5686723246800004e-07,-1.59366350649e-07,-1.5850957824000002e-07,-1.56564916543e-07,-1.53518033842e-07,-1.5258469158e-07,-1.56361342984e-07,-1.58070895601e-07
1.40983113866e-08,3.2526974400300004e-08,2.12966241834e-08,8.0452721847e-09,-1.25893550431e-08,1.0144308582700001e-08,4.25886435096e-08,6.207590051869999e-08,5.58339354038e-08,2.4061094524700002e-08,-3.17959285202e-10
-1.42770653852e-07,-1.4112804959200002e-07,-1.43862104527e-07,-1.4555970926099999e-07,-1.48407699906e-07,-1.49964141541e-07,-1.4775300757e-07,-1.44162754643e-07,-1.4381663938299999e-07,-1.4685189013e-07,-1.48567617736e-07
6.00259768162e-08,8.624466008489999e-08,8.365547324119999e-08,7.79578261414e-08,3.32566282191e-08,3.3765045141000006e-08,6.76491862316e-08,1.02995104955e-07,1.0737518193299999e-07,7.7113576033e-08,3.5036920351e-08
6.74650423949e-07,7.605660481770002e-07,6.57359768149e-07,6.96765095286e-07,6.27852056485e-07,6.65053056498e-07,8.22245045413e-07,9.78847509656e-07,9.945921494979999e-07,9.04719679099e-07,7.894612584689999e-07
-1.02962085635e-07,-1.0160177885299999e-07,-1.11347518341e-07,-1.09084370866e-07,-1.1080434916099999e-07,-1.0927955793e-07,-9.623666203869999e-08,-9.12622352817e-08,-8.95448418651e-08,-1.01891601198e-07,-1.05504629779e-07
1.06275459645e-07,1.36375682951e-07,1.3115939770999998e-07,9.599821165160001e-08,4.47736702061e-08,7.871996326930001e-08,1.1070240909100001e-07,1.30228582885e-07,1.2055165861199998e-07,8.516521473460001e-08,5.99490623141e-08
-1.60703996662e-07,-1.5982778022000002e-07,-1.6110884611e-07,-1.61109707737e-07,-1.62717416133e-07,-1.62806852937e-07,-1.6256427643e-07,-1.61099684151e-07,-1.6077519570999998e-07,-1.617948442e-07,-1.62619822601e-07
7.09662461998e-08,7.706655996130003e-08,4.5677803338e-08,5.24722144756e-08,3.94914705572e-08,1.67809559562e-08,2.7259968094e-08,3.88923818342e-08,3.36773603109e-08,2.34778597245e-08,2.3151648031e-08
-2.9178590151e-09,2.6687531835900007e-09,-1.2400400409299999e-08,-1.1770092095700001e-08,-2.5372671669699998e-08,-2.1538607237999998e-08,-1.37759579766e-08,6.780289984550001e-09,5.45151872196e-09,-5.03453003014e-09,-2.11661549364e-08
-9.01910328224e-08,-7.7673326844e-08,-8.15756033528e-08,-9.38671898855e-08,-1.0940337362e-07,-1.0046058362200001e-07,-9.86003900169e-08,-9.72368952169e-08,-9.6160321954e-08,-1.04063071642e-07,-1.0580258013200001e-07
-1.30991878534e-07,-1.29428400285e-07,-1.34627941257e-07,-1.33893318727e-07,-1.35718042052e-07,-1.3581913952999998e-07,-1.35465327076e-07,-1.36438706237e-07,-1.3458701401e-07,-1.3601122473900001e-07,-1.3522651300399998e-07
