State,2014_12_Temp,2014_12_Count,2014_12_price,2014_12_Megawatthours,2015_1_Temp,2015_1_Count,2015_1_price,2015_1_Megawatthours,2015_2_Temp,2015_2_Count,2015_2_price,2015_2_Megawatthours,2015_3_Temp,2015_3_Count,2015_3_price,2015_3_Megawatthours,2015_4_Temp,2015_4_Count,2015_4_price,2015_4_Megawatthours,2015_5_Temp,2015_5_Count,2015_5_price,2015_5_Megawatthours,2015_6_Temp,2015_6_Count,2015_6_price,2015_6_Megawatthours,2015_7_Temp,2015_7_Count,2015_7_price,2015_7_Megawatthours,2015_8_Temp,2015_8_Count,2015_8_price,2015_8_Megawatthours,2015_9_Temp,2015_9_Count,2015_9_price,2015_9_Megawatthours,2015_10_Temp,2015_10_Count,2015_10_price,2015_10_Megawatthours,2015_11_Temp,2015_11_Count,2015_11_price,2015_11_Megawatthours,2015_12_Temp,2015_12_Count,2015_12_price,2015_12_Megawatthours,2016_1_Temp,2016_1_Count,2016_1_price,2016_1_Megawatthours,2016_2_Temp,2016_2_Count,2016_2_price,2016_2_Megawatthours,2016_3_Temp,2016_3_Count,2016_3_price,2016_3_Megawatthours,2016_4_Temp,2016_4_Count,2016_4_price,2016_4_Megawatthours,2016_5_Temp,2016_5_Count,2016_5_price,2016_5_Megawatthours,2016_6_Temp,2016_6_Count,2016_6_price,2016_6_Megawatthours,2016_7_Temp,2016_7_Count,2016_7_price,2016_7_Megawatthours,2016_8_Temp,2016_8_Count,2016_8_price,2016_8_Megawatthours,2016_9_Temp,2016_9_Count,2016_9_price,2016_9_Megawatthours,2016_10_Temp,2016_10_Count,2016_10_price,2016_10_Megawatthours,2016_11_Temp,2016_11_Count,2016_11_price,2016_11_Megawatthours,2016_12_Temp,2016_12_Count,2016_12_price,2016_12_Megawatthours,2017_1_Temp,2017_1_Count,2017_1_price,2017_1_Megawatthours,2017_2_Temp,2017_2_Count,2017_2_price,2017_2_Megawatthours,2017_3_Temp,2017_3_Count,2017_3_price,2017_3_Megawatthours,2017_4_Temp,2017_4_Count,2017_4_price,2017_4_Megawatthours,2017_5_Temp,2017_5_Count,2017_5_price,2017_5_Megawatthours,2017_6_Temp,2017_6_Count,2017_6_price,2017_6_Megawatthours,2017_7_Temp,2017_7_Count,2017_7_price,2017_7_Megawatthours,2017_8_Temp,2017_8_Count,2017_8_price,2017_8_Megawatthours,2017_9_Temp,2017_9_Count,2017_9_price,2017_9_Megawatthours,2017_10_Temp,2017_10_Count,2017_10_price,2017_10_Megawatthours
AK,0.6057385759830001,0.00633774176032,0.378190986448,0.0039803608310300005,0.563761955367,0.00595235238233,0.395839899149,0.00413571337683,0.59298618491,0.00595177641016,0.395209580838,0.00332839774086,0.610520722635,0.00601033358068,0.400882445635,0.00305512295568,0.6758767268860001,0.006061787094449999,0.397730854081,0.00211850262479,0.764080765143,0.0060805381883900006,0.408761424519,0.00150991268099,0.8039319872480001,0.006127319927899999,0.427670973842,0.00116908601758,0.8140276301809999,0.00616456612816,0.432398361172,0.00155575402298,0.787991498406,0.006195028656220001,0.420737472424,0.00194817316381,0.7327311370880001,0.00623169888431,0.41348881185,0.00174858480133,0.6939426142399999,0.00624782610504,0.411282697762,0.00226259253038,0.6174282678,0.0061698778715,0.418531358336,0.00280880661783,0.570138150903,0.00618933293143,0.385124487866,0.00428339774206,0.6174282678,0.00614735096,0.391427670974,0.00402289527015,0.617959617428,0.00615919038792,0.394579262528,0.0030084908325700003,0.625398512221,0.00623771459363,0.4040340371890001,0.00281843976968,0.7029755579170001,0.006244370272029999,0.426095178065,0.00170034715291,0.759829968119,0.006291983971329999,0.426095178065,0.00142755162902,0.8012752391069999,0.00635207706764,0.427986132997,0.00126822121455,0.821466524973,0.00633812574176,0.433658997794,0.00152984995048,0.8087141339,0.00640308260305,0.4204223132680001,0.00203621346202,0.7507970244419999,0.00643540104142,0.416955562559,0.00146335244707,0.6838469713070001,0.00642036176812,0.4292467696190001,0.0023259269093,0.596705632306,0.00640276261851,0.433028679483,0.0029964134481700005,0.558979808714,0.00639565896176,0.427986132997,0.00446359998553,0.5499468650370001,0.00645920789107,0.450992751339,0.00476524703882,0.561105207226,0.00646074381686,0.45162306965,0.00348808760129,0.5510095642930001,0.00651046941412,0.486605735897,0.00355690952194,0.683315621679,0.00651341327187,0.475260006303,0.0022791510078,0.7428267800210001,0.00657613024139,0.4884966908290001,0.00150368228427,0.7996811902230001,0.0066376952665600005,0.491963441538,0.00117891087394,0.82518597237,0.006633471470660001,0.475260006303,0.00161793817481,0.7933049946870001,0.00670930780625,0.458556571068,0.00184379005576,0.752391073326,0.006684285015350001,0.453198865427,0.00154216696553,0.6865037194470001,0.0067134036083400005,0.462653640088,0.00205178945381
AL,0.791710945802,0.148111243265,0.131106208635,0.165746045675,0.7577045696070001,0.147475561981,0.1348881185,0.182129760472,0.745483528162,0.147163769047,0.147494484715,0.168348194826,0.833156216791,0.147824409125,0.13961550583,0.15818725649,0.8767268862909999,0.14784149629899998,0.138354869209,0.142564824282,0.907545164718,0.147909205027,0.150961235424,0.158165953326,0.944739638682,0.14808340461,0.163882760794,0.18386025316,0.959617428268,0.14833100864600002,0.166404034037,0.203536996216,0.945802337938,0.148371582685,0.163252442483,0.199854017012,0.921360255048,0.148470521904,0.16199180586200002,0.173788481386,0.871413390011,0.148484985206,0.136463914277,0.150875262905,0.8405951115829999,0.148473785747,0.128269776237,0.140551255916,0.8283740701379999,0.148691567223,0.127954617082,0.14947986970799998,0.754516471838,0.14862949022299998,0.135518436811,0.174433255557,0.790648246546,0.14894224311100002,0.137724550898,0.157169257593,0.843251859724,0.149109531027,0.140560983297,0.144440796734,0.863974495218,0.14916661626900002,0.145603529783,0.138628172081,0.8990435706700001,0.149383373795,0.147494484715,0.155644655554,0.946865037194,0.149610370827,0.163882760794,0.182230357416,0.96174282678,0.14938926151100002,0.170185943902,0.201633298499,0.959617428268,0.149961009884,0.16829498896899994,0.202638788677,0.943676939426,0.149897076973,0.167664670659,0.184358756787,0.890010626993,0.149941618821,0.162937283328,0.154840790599,0.833156216791,0.149926003576,0.149700598802,0.141521208869,0.79224229543,0.15014589695,0.160416010085,0.158935982434,0.804463336876,0.151361774199,0.15505830444399998,0.16277086350199998,0.821466524973,0.15120568574100002,0.163252442483,0.137441425285,0.8363443145589999,0.151804504806,0.160416010085,0.148654078549,0.8831030818279999,0.151281202092,0.15600378191,0.14585250877699998,0.897980871413,0.151987215978,0.161676646707,0.157303163196,0.928799149841,0.152223876542,0.173652694611,0.17116035627300002,0.954303931987,0.152466232832,0.17711944532,0.195416776398,0.944739638682,0.152656431641,0.17680428616500002,0.195115944088,0.916578108395,0.15188814876499998,0.179325559408,0.167005304704,0.875664187035,0.152635312662,0.163252442483,0.15649992128100002
AR,0.7587672688629999,0.08718695512630001,0.094547746612,0.0811667807708,0.731137088204,0.08540592118589999,0.0923416325244,0.08800471305549999,0.717853347503,0.0851483336325,0.0989599747873,0.0825623896351,0.790116896918,0.0855353229332,0.097069019855,0.0853448368822,0.8581296493089999,0.08531062979039998,0.101796407186,0.0677455477226,0.894261424017,0.085416224688,0.10967538607,0.0694936532626,0.941020191286,0.0859509828485,0.122281752285,0.0836829025214,0.961211477152,0.08630686965210001,0.131736526946,0.101850140268,0.941020191286,0.0864263518787,0.132051686101,0.106608941242,0.92348565356,0.0864034409857,0.12953041285800002,0.09213932413139997,0.86344314559,0.0862644397023,0.105893476205,0.0787444264908,0.8140276301809999,0.0860510740121,0.105893476205,0.06715792546,0.791710945802,0.0860519059719,0.10022061140900003,0.0724433147723,0.735919234857,0.08618661946249999,0.0942325874567,0.0836145119359,0.775239107333,0.08639819323930001,0.0964387015443,0.0799381944646,0.820935175345,0.0862378809856,0.0983296564765,0.0722287015686,0.8581296493089999,0.08616537248919999,0.0948629057674,0.06735593226030001,0.8831030818279999,0.0864811332316,0.102426725496,0.0690452324405,0.94527098831,0.08698459690430001,0.122281752285,0.0827605162507,0.96174282678,0.0872313049833,0.126378821305,0.105843872489,0.951115834219,0.0875519294908,0.127639457926,0.10381120556,0.928799149841,0.0873498912533,0.125748502994,0.094409465027,0.882040382572,0.0872270811874,0.108414749448,0.08171742802510001,0.8219978746009999,0.0870503217285,0.10148124803,0.0717368117478,0.751859723698,0.0871163025403,0.104002521273,0.0766852564132,0.766737513284,0.0872039783038,0.0980144973211,0.08503988292610001,0.804994686504,0.08697224550110001,0.0989599747873,0.0730855967845,0.8219978746009999,0.08728832622810001,0.0964387015443,0.072703337983,0.8666312433580001,0.087023635018,0.104002521273,0.0695720364459,0.8857598299680001,0.0874407028652,0.108414749448,0.0726189400705,0.927205100956,0.08790135260660001,0.123857548062,0.0860224644143,0.953772582359,0.08825851934830001,0.130160731169,0.0972718530566,0.934112646121,0.0883188044354,0.127639457926,0.101768210551,0.914452709883,0.08815510034560001,0.127639457926,0.0891886082468,0.860255047821,0.0883716658811,0.104947998739,0.08393336446930001
AZ,0.7614240170029999,0.177197709807,0.14308225654,0.124398209576,0.765674814028,0.17758905089699994,0.148124803026,0.127172293713,0.802337938363,0.177769906158,0.15190671289000002,0.103224254263,0.82518597237,0.17767378280299995,0.153482508667,0.118359852857,0.8363443145589999,0.17685948615,0.16892530728,0.117909658768,0.860255047821,0.176606250386,0.190356129846,0.131709220676,0.94261424017,0.176572396022,0.208320201702,0.17664758647599998,0.943676939426,0.176851230549,0.212102111566,0.194324539927,0.954303931987,0.176859998125,0.205483769303,0.203272851358,0.924548352816,0.17729908090799998,0.20044122281800006,0.172773669577,0.86875664187,0.177829167295,0.176489127009,0.142281748604,0.782678002125,0.17847713598499998,0.14276709738399998,0.115318748294,0.743358129649,0.179228651672,0.142136779073,0.13286522286,0.748140276302,0.180567594974,0.14371257485,0.13199634611199998,0.7948990435709999,0.18001677359,0.148755121336,0.114784731406,0.8177470775769999,0.17995136875,0.149385439647,0.117843736378,0.836875664187,0.17925930619000002,0.163882760794,0.119602289815,0.8692879914980001,0.17907256321400006,0.192247084778,0.140196530675,0.952709883103,0.17914321579999998,0.201386700284,0.18724870234,0.963868225292,0.179465632221,0.208320201702,0.20872864202,0.937832093518,0.179474719782,0.204853450993,0.194424394016,0.906482465462,0.18012633629500002,0.201701859439,0.160078685118,0.8772582359190001,0.180405298816,0.179955877718,0.142815142452,0.8081827842720001,0.181081042164,0.152221872045,0.116559747468,0.7635494155149999,0.181847341136,0.15190671289000002,0.122869797409,0.7507970244419999,0.181678517294,0.156949259376,0.125616875173,0.787991498406,0.18173758644,0.158525055153,0.106206289873,0.827311370882,0.181897258724,0.158525055153,0.119679259177,0.8443145589800001,0.181127439922,0.176173967854,0.122545433371,0.877789585547,0.181033236474,0.207689883391,0.14382688698899998,0.950053134963,0.181259145558,0.2111566341,0.185399352853,0.958554729012,0.181300167576,0.220296249606,0.202650243021,0.946865037194,0.181695284484,0.209895997479,0.197327447366,0.911264612115,0.180206780408,0.204853450993,0.167428085047,0.871944739639,0.182494093885,0.198550267885,0.138006114895
CA,0.774707757705,0.973547710175,0.309486290577,0.501036114974,0.7842720510100001,0.953561475909,0.312322722975,0.479919335533,0.8087141339,0.920966634892,0.304443744091,0.426926456637,0.8283740701379999,0.972006600641,0.301922470848,0.467175059051,0.827311370882,0.95490086719,0.25212732429900003,0.469923934045,0.849096705632,0.952719596589,0.31894106523800003,0.45607426537,0.921360255048,0.961123094532,0.361802710369,0.51957183276,0.924548352816,0.990817723688,0.399306649858,0.593856349577,0.932518597237,0.942388319796,0.395524739994,0.5785397100330001,0.909139213603,0.959033851484,0.400882445635,0.602322428302,0.871413390011,0.975474145089,0.3460447526,0.573199373414,0.778958554729,0.925373589948,0.327450362433,0.466680221773,0.7507970244419999,0.992477163503,0.3079104948,0.506585625181,0.762486716259,0.955315311164,0.31610463284,0.472254389973,0.8012752391069999,0.930733906938,0.309171131421,0.435831562663,0.804994686504,0.994328594042,0.303183107469,0.474844653445,0.833687566419,0.94439052705,0.250866687677,0.449034204638,0.856535600425,0.962553169431,0.322092656792,0.45484220442,0.916578108395,0.979984455151,0.362433028679,0.525966496281,0.934112646121,0.959604959888,0.384809328711,0.562906566335,0.930924548353,0.969459779703,0.391742830129,0.637580986171,0.8953241232729999,0.964755942993,0.376930349827,0.5698653203899999,0.847502656748,0.964663019483,0.298770879294,0.503191041456,0.806588735388,0.947820889295,0.323668452569,0.463256954261,0.756641870351,0.982196444268,0.320201701859,0.487588666333,0.749734325186,0.965617661355,0.330286794831,0.479844307179,0.777364505845,0.931413618094,0.3359596596280001,0.427460617303,0.8097768331559999,1.0,0.33879609202600003,0.4681124462,0.821466524973,0.943639651332,0.26725496375700003,0.418506698515,0.8629117959620001,0.971744725295,0.341002206114,0.465640967638,0.912858660999,0.984671396678,0.406870469587,0.523020309416,0.944739638682,0.950367070263,0.405924992121,0.573545447988,0.939426142402,0.987604630944,0.408446265364,0.632571411729,0.896918172157,0.953765434054,0.412543334384,0.583533468852,0.854941551541,0.987643285076,0.356760163883,0.5103807515250001
CO,0.674282678002,0.150138345315,0.15190671289000002,0.0993714488236,0.681190223167,0.150664335899,0.152221872045,0.100326113342,0.6965993623800001,0.150839623429,0.162937283328,0.0881955309364,0.741764080765,0.15110546658399998,0.16199180586200002,0.0925665376415,0.764080765143,0.15124069205,0.16482823825999998,0.08666649573010002,0.790648246546,0.151352430651,0.165773715726,0.0901420985749,0.8708820403829999,0.15152714220799998,0.171446580523,0.0988990649373,0.87991498406,0.15159785879100002,0.183737787583,0.110455803842,0.8815090329440001,0.15183413537499998,0.181531673495,0.11605542081700003,0.858660998937,0.151977104466,0.176489127009,0.104572200593,0.7991498405949999,0.15219642186899998,0.163252442483,0.0971207419732,0.709883103082,0.152302272754,0.158840214308,0.0934317240778,0.663124335813,0.152548916836,0.156634100221,0.100685223823,0.662061636557,0.152857317934,0.13961550583,0.101739359022,0.698193411265,0.152982047907,0.144342893161,0.0907442903806,0.727417640808,0.153188757919,0.143397415695,0.0929393789588,0.758235919235,0.153430410243,0.15316734951199998,0.0863553832664,0.795961742827,0.153613953374,0.15285219035599998,0.0919450795322,0.8788522848029999,0.153857781592,0.180271036874,0.10481976301,0.893730074389,0.153942961476,0.179955877718,0.11976061377999997,0.86875664187,0.154280289176,0.182161991806,0.116199199202,0.843251859724,0.154392667746,0.184368105893,0.102069594011,0.8012752391069999,0.15457973070699998,0.16419791995,0.09424114846339998,0.739638682253,0.15471668409000006,0.16514339741599998,0.091410894903,0.659936238045,0.15483475838400002,0.161676646707,0.103330674232,0.659936238045,0.15411383322,0.152537031201,0.10122791534,0.714133900106,0.15423881918,0.156949259376,0.08751052278060001,0.7513283740700001,0.154473047862,0.158840214308,0.0942950653581,0.7608926673749999,0.154657166966,0.155373463599,0.0877078825781,0.7991498405949999,0.154837382258,0.159155373464,0.093403112179,0.8703506907549999,0.15494124923900002,0.186889379136,0.104434197306,0.894792773645,0.155109497109,0.182792310117,0.120123797983,0.8692879914980001,0.155339565992,0.180586196029,0.115870378034,0.839532412327,0.155410090584,0.179955877718,0.104888776635,0.774176408077,0.155866580527,0.167034352348,0.0935579375374
CT,0.714133900106,0.0891869864848,0.401827923101,0.0506274129308,0.649840595112,0.08929456528660001,0.436495430192,0.054331000369300005,0.6099893730070001,0.08933501133230001,0.461077844311,0.0544610479192,0.690754516472,0.0887200010495,0.457611093602,0.0513946623233,0.775770456961,0.0886633637863,0.438386385124,0.0453964197744,0.859192348565,0.08860090280439999,0.442168294989,0.0390898205143,0.8730074388950001,0.08855437705250001,0.425149700599,0.0471140682597,0.909670563231,0.0885178348182,0.390797352663,0.0562369266507,0.908607863974,0.0885369698936,0.379766782225,0.0579726912127,0.886291179596,0.08867993898530001,0.378821304759,0.054964799456699985,0.7991498405949999,0.0887788142077,0.391112511818,0.0423065743386,0.770988310308,0.0888299477369,0.385754806177,0.0398363658192,0.7571732199789999,0.0888312276751,0.381027418847,0.045565239562300006,0.6838469713070001,0.089004531301,0.395209580838,0.0513643250839,0.6960680127519999,0.08979412514789999,0.418531358336,0.0470840185771,0.7555791710950001,0.0897070253565,0.415379766782,0.0453402263887,0.774707757705,0.0899726125234,0.407185628743,0.0424436430663,0.8363443145589999,0.08991936709619999,0.411597856918,0.038590717811199986,0.884165781084,0.08987111342779999,0.408446265364,0.048811755512499985,0.919766206164,0.08987610518660001,0.394264103372,0.0557580248109,0.918703506908,0.08996115707689999,0.381027418847,0.0631479223185,0.877789585547,0.0899724205326,0.382288055468,0.0547959077796,0.8103081827840001,0.0900963185459,0.391742830129,0.0403799200065,0.7571732199789999,0.0902137528715,0.390167034352,0.0400227984594,0.699256110521,0.0903428986311,0.3800819413800001,0.047868856858800005,0.7003188097769999,0.0903798888438,0.394264103372,0.050894744875999993,0.709351753454,0.090386672516,0.403403718878,0.043839012300000015,0.7029755579170001,0.0902458153222,0.40529467381,0.0442841022561,0.8012752391069999,0.0905486486893,0.400882445635,0.0424614715862,0.8262486716259999,0.0907270720679,0.410337220296,0.0380252853462,0.882040382572,0.0905755913874,0.405609832966,0.0462998272982,0.90701381509,0.0904955952528,0.416955562559,0.055036209388300006,0.892667375133,0.0905876228061,0.412543334384,0.0536818409576,0.8772582359190001,0.0906214771702,0.42168294989,0.0447994279537,0.837407013815,0.090681954248,0.425464859754,0.041040965098
DC,0.730074388948,0.00207951551781,0.21935077214,0.0119113922564,0.6843783209350001,0.00134399905797,0.234478411598,0.0145521698675,0.6615302869290001,0.00193526648792,0.213993066499,0.0131000800606,0.740170031881,0.00209340284677,0.245508982036,0.0121041751087,0.816684378321,0.0021923420660300004,0.24456350457,0.0103797690392,0.892136025505,0.002148696175,0.21525370312,0.0118325537749,0.916046758767,0.00203823751236,0.242357390482,0.014850030756600003,0.929861849097,0.00218850225157,0.236684525685,0.0171315780708,0.922422954304,0.0022471874159,0.223132682004,0.0158945088399,0.903294367694,0.00236948550646,0.237630003152,0.0136864802069,0.819341126461,0.00246727278138,0.232587456666,0.008712131469040001,0.793836344315,0.00248551190006,0.234793570753,0.0100982269968,0.784803400638,0.00278725731973,0.250236369367,0.010561480955700002,0.6939426142399999,0.00282904730043,0.221241727072,0.0135909394695,0.722635494155,0.0028668694728700003,0.24046643555,0.0140337289715,0.7948990435709999,0.00286347763676,0.222187204538,0.0122686575819,0.8134962805529999,0.00286974933371,0.232587456666,0.008620808231030001,0.854941551541,0.0029332982630300005,0.225023636937,0.010388275927,0.914452709883,0.0029417458548400004,0.223132682004,0.0151254382545,0.948459086079,0.00295230534461,0.208950520013,0.0173005176741,0.947927736451,0.0030115024842,0.218405294674,0.0177017312595,0.914452709883,0.00306545187737,0.214308225654,0.0139430766993,0.8416578108399999,0.00310615391064,0.234163252442,0.0111645114686,0.7794899043569999,0.0031352725036300003,0.22817522849,0.00974232756598,0.729011689692,0.00325161888178,0.220296249606,0.0114858561607,0.735387885228,0.00336412544546,0.214938543965,0.0123777853767,0.764612114772,0.00336214154132,0.227229751024,0.00937691479861,0.7614240170029999,0.00341577094995,0.23227229751,0.0110213561225,0.850159404888,0.00342409054794,0.232587456666,0.00942359484785,0.857598299681,0.00343401006863,0.225653955247,0.0105737979708,0.914452709883,0.0035197019280000007,0.224393318626,0.0139862581412,0.939426142402,0.003551316400389999,0.210526315789,0.016853223116,0.915515409139,0.00359905809351,0.211786952411,0.0149710921574,0.890010626993,0.00359579425122,0.234793570753,0.0121893638022,0.850690754516,0.0035669956427700007,0.234793570753,0.0112704282128
DE,0.743889479277,0.0143549543686,0.200126063662,0.0126349090566,0.6960680127519999,0.014114198002,0.184052946738,0.0175538312267,0.665249734325,0.0139213753191,0.226914591869,0.0153524882887,0.7385759829970001,0.0146074221694,0.220926567917,0.0142392122478,0.8140276301809999,0.014638140685,0.179325559408,0.0101481899859,0.886822529224,0.0146677072564,0.205798928459,0.0100728980379,0.917109458023,0.0147510312302,0.222187204538,0.013145969328700002,0.934643995749,0.0147286323125,0.199495745351,0.016538252599,0.925079702444,0.0147639586055,0.205483769303,0.016027455920500002,0.908607863974,0.0147909013036,0.208320201702,0.013161449468200002,0.8262486716259999,0.014775542045799997,0.202017018594,0.0112091786204,0.800212539851,0.0148041486635,0.218090135518,0.0105714016643,0.795961742827,0.0148564341371,0.196028994642,0.00984254110085,0.708289054198,0.0148675056021,0.207374724236,0.0140108682082,0.7306057385760001,0.0149224789458,0.205168610148,0.0130971805298,0.790116896918,0.014919983066399996,0.212102111566,0.0108591741034,0.8081827842720001,0.014932206475799997,0.205168610148,0.008630225715290001,0.8538788522849999,0.0149691326915,0.212102111566,0.0102236017492,0.910733262487,0.0150148264836,0.20044122281800006,0.0128174357173,0.948990435707,0.015044521048700002,0.191931925622,0.017037930415600002,0.943676939426,0.0151068540368,0.199180586196,0.0188659048489,0.908607863974,0.0151249651617,0.198550267885,0.014380594327100003,0.846439957492,0.0151209973534,0.229751024267,0.010530808233399998,0.786397449522,0.0151313648525,0.195713835487,0.00961160905027,0.734325185972,0.0151677790929,0.19004097069000006,0.012051935628500002,0.734325185972,0.0151313648525,0.19823510873,0.0133507816392,0.761955366631,0.0151362286174,0.209265679168,0.0104417614865,0.758235919235,0.0152415675275,0.222502363694,0.0113589956984,0.8443145589800001,0.0152665263214,0.203592814371,0.00926790681915,0.8607863974500001,0.0154176870174,0.214623384809,0.00940928889846,0.918172157279,0.015356249986,0.194453198865,0.0122693285477,0.943676939426,0.0153696893366,0.186574219981,0.016561688475899998,0.920297555792,0.015419478930799996,0.195713835487,0.0151587708769,0.8990435706700001,0.015436502108200002,0.190986448156,0.0137323934381,0.859723698193,0.0154399579412,0.204223132682,0.0100409313101
FL,0.854941551541,0.639603078379,0.191301607312,0.392803748015,0.837407013815,0.625399796682,0.189410652379,0.40940859397,0.8267800212540001,0.6274076996600001,0.196659312953,0.376838763803,0.8953241232729999,0.632643862649,0.184052946738,0.419556184879,0.925079702444,0.633612519843,0.182477150961,0.428530256604,0.937832093518,0.634479421954,0.180271036874,0.457670708676,0.960148777896,0.635057890003,0.184368105893,0.509664399681,0.965993623804,0.634609847652,0.187834856603,0.547390530132,0.963868225292,0.636888841531,0.185628742515,0.549754510388,0.951115834219,0.6374185439360001,0.186574219981,0.519316122901,0.921360255048,0.633790047265,0.180901355184,0.459840276591,0.909670563231,0.6493681745300001,0.18121651434,0.432461085781,0.895855472901,0.643658818406,0.174598172077,0.417582706719,0.8283740701379999,0.639924214862,0.17396785376600002,0.410345190337,0.8416578108399999,0.638915111622,0.17270721714499998,0.38416757946,0.891604675877,0.646200519591,0.165458556571,0.39863875417,0.90435706695,0.642252870341,0.15947053261900002,0.401040763808,0.930924548353,0.6522316521670001,0.156318941065,0.457688992495,0.961211477152,0.648486425136,0.162937283328,0.520090249693,0.972369819341,0.6489091887080001,0.165773715726,0.583910527669,0.967056323061,0.650445690464,0.168610148125,0.5706732111389999,0.956960680128,0.650624049846,0.170185943902,0.530417323954,0.922422954304,0.646959010941,0.166719193193,0.466455544083,0.87991498406,0.662841187514,0.166404034037,0.397809416478,0.876195536663,0.652906371564,0.162306965017,0.40971021706,0.859192348565,0.651916083415,0.180586196029,0.401941271801,0.873538788523,0.652342046832,0.188465174913,0.358937132661,0.8772582359190001,0.6540974820100001,0.184368105893,0.382972421628,0.909139213603,0.654095114124,0.181531673495,0.415637792532,0.934643995749,0.65539693922,0.17680428616500002,0.478087910418,0.951647183847,0.656156518517,0.193822880555,0.494668817272,0.965993623804,0.657198132186,0.192562243933,0.549500789463,0.965462274176,0.657982094305,0.191616766467,0.5558707470650001,0.952709883103,0.657898450347,0.199495745351,0.499120483651,0.924017003188,0.6550537238040001,0.197919949575,0.470189324982
